タイトル,特集名,制作年/国/時間,監督/出演,概要,上映スケジュール,料金,受賞歴,イベント情報
小学校～それは小さな社会～,,2023年/日本・アメリカ・フィンランド・フランス/1h39,監督・編集：山崎エマ,社会生活を学ぶ1年生と次章への準備を始める6年生。日本の公立小学校に通う1年生と6年生の学校生活を春夏秋冬にわたって描いたドキュメンタリー。,6/7(土)～6/13(金) 11：50～(終13：34) 6/14(土)～6/20(金) 9：30～(終11：14),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,EBS国際ドキュメンタリー映画祭 審査員特別賞 ニッポン・コネクション 最優秀ドキュメンタリー賞,
ザ・ルーム・ネクスト・ドア,,2024年/スペイン/1h47,監督・脚本：ペドロ・アルモドバル 出演：ティルダ・スウィントン、ジュリアン・ムーア、ジョン・タトゥーロ、アレッサンドロ・ニボラ,病に侵され安楽死を望む女性と、彼女に寄り添う親友の最期の数日間。巨匠アルモドバルが人生の終わりと生きる喜びを描く、世界が沸いたヒューマンドラマ。,6/7(土)～6/13(金) 16：10～(終18：00) 6/14(土)～6/20(金) 13：00～(終14：50),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,ヴェネチア国際映画祭 金獅子賞,
Playground/校庭,,2021年/ベルギー/1h12,監督・脚本：ローラ・ワンデル 出演：マヤ・ヴァンダービーク、ガンター・デュレ,小学校に入学した少女ノラは兄がいじめられている現場を目撃しショックを受ける…。ノラの視点から、不安と恐怖に満ちた子どもたちの過酷な日常を描く。,6/14(土)～6/20(金) 11：30～(終12：45),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,アカデミー賞 国際長編映画賞ショートリスト選出 カンヌ国際映画祭「 ある視点」部門 国際批評家連盟賞,
リアル・ペイン～心の旅～,,2024年/アメリカ・ポーランド/1h30/PG12,監督・脚本・製作・出演：ジェシー・アイゼンバーグ 出演：キーラン・カルキン、ウィル・シャープ、ジェニファー・グレイ,祖母の遺言により再会した従兄弟同士のデヴィッドとベンジーはポーランド旅行へ…。正反対の二人が衝突しながらも痛みと向き合うロードムービー。,6/14(土)～6/20(金) 15：05～(終16：40),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,アカデミー賞 助演男優賞（キーラン・カルキン） ゴールデングローブ賞 助演男優賞受賞、作品賞他3部門ノミネート,
Brotherブラザー 富都（プドゥ）のふたり,,2023年/マレーシア・台湾/1h55/PG12,監督・脚本：ジン・オング 出演：ウー・カンレン、ジャック・タン,マレーシアのスラム街。ろう者の兄アバンは堅実に日雇いで働き、弟アディは裏社会でお金を稼ぐ。ある日、事件が起こり…。兄弟の過酷な運命を描く。,6/14(土)～6/20(金) 16：50～(終18：50),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,金馬奨 最優秀主演男優賞受賞 5部門ノミネート,
ほんとうのうた～朗読劇「銀河鉄道の夜」を追って～,,2014年/日本/1h40,監督：河合宏樹 出演：古川日出男、管啓次郎、小島ケイタニーラブ、柴田元幸、青柳いづみ 美術:サカタアキコ 音楽:小島ケイタニーラブ,小説家・古川日出男が宮沢賢治のヴィジョンを震災後の視点から戯曲化した朗読劇「銀河鉄道の夜」。詩人・管啓次郎、音 楽家・小島ケイタニーラブ、翻訳家・柴田元幸と共に、東北をはじめ全国各地をめぐり、土地ごとの変容をとげる旅を追ったロード・ドキュメンタリー。,6/14(土) 19:00〜(終20:45),,,
うたのはじまり 絵字幕版,,2020年/日本/1h26/PG12,監督：河合宏樹 出演:齋藤陽道、盛山麻奈美、盛山樹、七尾旅人、飴屋法水、CANTUS 配給:SPACE SHOWER FILMS,“ろう”の写真家、齋藤陽道。子育てを通し、それまで嫌いだった「うた」に出会うまでを描いたドキュメンタリー。20歳で 補聴器を捨てカメラを持ち、「聞く」ことよりも「見る」ことを選んだ彼の口から、ふとこぼれた子守歌をきっかけにある変化が訪れる。画家・小指が手掛ける五線紙に音が描かれた絵字幕版で上映。,6/15 (日)、17 日(火) 19:00〜(終20:31),,,
コルバトントリ、〈劇場初上映〉,,2017年/日本/1h40,監督：河合宏樹 原作：山下澄人 演出・上演台本・音響・美術：飴屋法水 出演：青柳いづみ、安藤真理、郷拓郎(detune.)、山下澄人、飴屋法水、グルパリ、くるみ,芥川賞作家・山下澄人の小説を、鬼才・飴屋法水が舞台化。さまざまなものの死のエピソードが時間軸を越えて描かれ、不明瞭な虚実の中で断片的に積み上げられていく。2015年、清澄白河SNACにて上演された作品を収録した映像作品を劇場にて初上映。,6/16 (月) 19:00〜(終20:45),,,
cocoon 〈劇場初上映〉,,2024年/日本/2h36,監督：河合宏樹 原作:今日マチ子 作・演出:藤田貴大 音楽:原田郁子 出演:青柳いづみ、菊池明明、小泉まき 他 ミックスエンジニア:田鹿充(△巛),沖縄戦に動員される少女たちに想を得た漫画家・今日マチ子の傑作漫画「cocoon」を原作に、劇作家・藤田貴大率いるマームとジプシーが音楽家・原田郁子と 2013 年に舞台化。少女たちの日常が死と隣り合わせの日々へと変わっていく様子を、 切実に描く。2022年に再再演された舞台を映像化、戦後80年目の沖縄解放命令の日に劇場初上映。,6/18 (水) 19:00〜(終21:41),,,
"『平家物語諸行無常セッション』＋「平家物語 パフォーマンスミックス ""映像の再配置""」〈初上映〉",,『平家物語 諸行無常セッション』,2022年/日本/1h04 監督：河合宏樹 出演: 古川日出男 坂田明 向井秀徳 配給:K3 企画,2017年5月28日、高知県・五台山竹林寺文学。「平家物語」の現代語全訳を完成させた古川日出男、朗読と演奏で「平家物語」を翻案続ける坂田明、音楽を通し“諸行無常”を繰り返し唱えてきた向井秀徳による一夜限りの伝説的セッションを映画化。文学、音楽、演劇の枠を超え、三つの魂が交錯し響かせた祈りが今また蘇る。,6/19 (木) 19:00〜(終21:09),,,
兵士 A,,2016年/日本/2h56,監督：河合宏樹 出演・演奏:七尾旅人 サックス・クラリネット:梅津和時 舞台映像:ひらのりょう,七尾旅人、初となるライブ映像作品「兵士A」。断髪し、1人目の戦死自衛官に扮して描き出す、およそ100年間に及ぶ物 語。ほぼ新曲のみで構成され、「CD というフォーマットでは収め切れなかったニューアルバム」ともいえる、前例のないライブ映像作品として結実させた衝撃の3時間。,6/20 (金) 19:00〜(終22:01),,,
アンジーのBARで逢いましょう,,2025年/日本/1h28/PG12,監督：松本動 出演：草笛光子、松田陽子、青木柚、石田ひかり、ディーン・フジオカ,突然町にやってきて、いわくつきの物件でBARを開いた謎多き白髪の女性アンジー。彼女が問題を抱えた町の住人たちに魔法をかけていく痛快おとぎ話！,6/21(土)～6/27(金) 9：30～(終11：03),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
シアトリカル 唐十郎と劇団唐組の記録,,2007年/日本/1h42,監督・脚本・構成・製作：大島新『国葬の日』『なぜ君は総理大臣になれないのか』 出演：唐十郎、鳥山昌克、久保井研、辻孝彦、稲荷卓央、藤井由紀,紅テント公演で演劇界に革命的な衝撃を与えた天才劇作家・唐十郎と劇団員の活動と芝居に対する凄まじい情熱を捉えた大島新初監督ドキュメンタリー。,6/21(土)～6/27(金) 11：20～(終13：07),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,日本映画批評家大賞 ドキュメンタリー賞,★6/21(土) 、6/26(木)上映後、大島新監督の舞台挨拶あり
あの歌を憶えている,,2023年/アメリカ・メキシコ/1h43,監督・脚本：ミシェル・フランコ 出演：ジェシカ・チャステイン、ピーター・サースガード,13歳の娘とNYで暮らすシルヴィアは若年性認知症を抱えるソールと出会い…。記憶に翻弄される二人が、過去や人生と向き合う姿を静かに優しく描き出す。,6/21(土)～6/27(金) 13：30～(終15：18),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,ヴェネチア国際映画祭 コンペティション部門 男優賞,
聖なるイチジクの種,,2024年/フランス・ドイツ・イラン/2h47,監督：モハマド・ラスロフ 出演：ミシャク・ザラ,政府への反抗議デモで揺れるイラン。判事のイマンは護身用に国から一丁の銃を支給されるが、家庭内から銃が消え…。母国を追われた監督が世界に問う衝撃作。,6/21(土)～6/27(金) 15：30～(終18：20),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,カンヌ国際映画祭 審査員特別賞,
ドリーミン・ワイルド 名もなき家族のうた,,2022年/アメリカ/1h51,監督・脚本：ビル・ポーラッド『ラブ＆マーシー 終わらないメロディー』 出演：ケイシー・アフレック、ノア・ジュプ、ズーイー・デシャネル,1979年に10代でレコーディングした１枚のアルバムが、約30年後に”埋もれた傑作”として再評価され、注目を集めた兄弟とその家族の半生を描いた実話の物語。,6/21(土)～6/27(金) 18：30～(終20：25),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
白夜 4Kレストア版,,1971年/フランス・イタリア/1h23,監督・脚本：ロベール・ブレッソン 原作：ドストエフスキー 出演：ギヨーム・デ・フォレ、イザベル・ヴェンガルテン,画家の青年ジャックと恋人を待つ女性マルト。セーヌ河にかかる橋ポンヌフで出会った二人が恋と愛にうつろう四夜の物語を、巨匠ブレッソンが瑞々しく描く。,6/21(土)～6/27(金) 20：35～(終22：03）,一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,★先着で、特製ポストカード3枚セットをプレゼント！（数量限定）
光る川,,2024年/日本/1h48,監督・脚本：金子雅和『リング・ワンダリング』 出演：華村あすか、葵揚、有山実俊、足立智充,高度経済成長期、山間に暮らす少年ユウチャは古くから伝わる悲恋の物語を聞く。圧倒的なロケーションと民俗学に裏打ちされた世界観で描く伝承と解放の物語。,6/28(土)～7/4(金) 9:30～(終11：23),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,★7/1(火)金子雅和監督による舞台挨拶あり ★先着でポストカードをプレゼント！(数量限定)
ローマ法王になる日まで,,2015年/1h53/イタリア,監督・脚本：ダニエレ・ルケッティ 出演：ロドリゴ・デ・ラ・セルナ、セルヒオ・エルナンデス,今年亡くなったローマ法王・フランシスコ。アルゼンチン軍事政権下での弾圧を生き抜き、困難にあえぐ人々に寄り添い続けた知られざる彼の半生を描く感動のドラマ。,6/28(土)～7/4(金) 11：45～(終13：43),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
HERE 時を越えて,,2024年/アメリカ/1h44,監督・脚本：ロバート・ゼメキス 出演：トム・ハンクス、ロビン・ライト,恐竜が駆け回る時代から現代の一軒家のリビングまで、地球上のある地点にカメラが固定され、そこで暮らす幾世代もの家族が交差する愛と喪失、記憶と希望の物語。,6/28(土)～7/4(金) 13:55～(終15：44),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
エミリア・ペレス,,2024年/フランス/2h13,監督・脚本:ジャック・オーディアール 出演:ゾーイ・サルダナ、カルラ・ソフィア・ガスコン、セレーナ・ゴメス、アドリアーナ・パス,麻薬王のマニタスは弁護士・リタの力を借り、過去を捨て、女性として新たな人生を歩み始め…。罪と救済、愛と憎しみが交錯する異色のミュージカル。,6/28(土)～7/4(金) 15:55～(終18：13),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,アカデミー賞 助演女優賞(ゾーイ・サルダナ)・歌曲賞 ゴールデン・グローブ賞 作品賞・助演女優賞・歌曲賞・外国語映画賞 カンヌ国際映画祭 女優賞・審査員賞,
